repo,id_build,branch,commit_sha,languages,status,conclusion,created_at,updated_at,build_duration,total_builds,gh_files_added,gh_files_deleted,gh_files_modified,tests_ran,gh_lines_added,gh_lines_deleted,file_types,gh_tests_added,gh_tests_deleted,gh_test_churn,gh_src_churn,gh_pull_req_number,gh_is_pr,gh_sloc,gh_description_complexity,gh_src_files,gh_doc_files,gh_other_files,git_num_committers,gh_job_id,total_jobs,gh_first_commit_created_at,gh_team_size_last_3_month,gh_commits_on_files_touched,gh_num_pr_comments,git_merged_with,gh_test_lines_per_kloc,build_language,dependencies_count,workflow_size,test_framework,tests_passed,tests_failed,tests_skipped,tests_total,fetch_duration
jessecooper/pyetrade,9171303408,dependabot/pip/requests-2.32.0,c6f8d515000034564f2ba03be179b801b59e2147,Python,completed,success,2024-05-21T08:18:45Z,2024-05-21T08:23:14Z,269.0,21,0,0,0,True,0,0,".toml, .lock",0,0,0,0,0,False,0,0,0,0,2,3,"[25215345516, 25215346011, 25215346345, 25215346603, 25215346849, 25215347089, 25215347405, 25215347681, 25215347943, 25215348207, 25215348492, 25215348904]",12,2024-05-21T08:18:41Z,3,1,0,,0,,11,42,['pytest'],0,0,0,0,7.034659147262573
jessecooper/pyetrade,9556180118,dependabot/pip/urllib3-2.2.2,3388fadf10360a22d2519f69b0ee650e67b4a52e,Python,completed,success,2024-06-17T23:19:21Z,2024-06-17T23:23:32Z,251.0,22,0,0,0,False,0,0,.lock,0,0,0,0,0,False,0,0,0,0,1,3,"[26340926751, 26340927028, 26340927307, 26340927577, 26340927859, 26340928065, 26340928325, 26340928638, 26340928883, 26340929186, 26340929406, 26340929664]",12,2024-06-17T23:19:16Z,3,1,0,,0,,11,42,['pytest'],0,0,0,0,7.120143175125122
jessecooper/pyetrade,9815645836,dependabot/pip/certifi-2024.7.4,0ae48c4bea5c4a8681c500df45aedd9e9b9621c3,Python,completed,success,2024-07-06T01:54:12Z,2024-07-06T01:58:04Z,232.0,23,0,0,0,False,0,0,.lock,0,0,0,0,0,False,0,0,0,0,1,3,"[27104912039, 27104912170, 27104912263, 27104912400, 27104912487, 27104912559, 27104912644, 27104912735, 27104912791, 27104912870, 27104912949, 27104913050]",12,2024-07-06T01:54:08Z,3,1,0,,0,,11,42,['pytest'],0,0,0,0,6.997431516647339
jessecooper/pyetrade,9862958429,dependabot/pip/zipp-3.19.1,5ee59b36f4a89ea2952c7c0b7f871e8acd0b287d,Python,completed,success,2024-07-09T19:20:43Z,2024-07-09T19:25:08Z,265.0,24,0,0,0,False,0,0,.lock,0,0,0,0,0,False,0,0,0,0,1,3,"[27234651653, 27234652135, 27234652398, 27234652595, 27234652783, 27234652951, 27234653151, 27234653360, 27234653559, 27234653739, 27234653955, 27234654151]",12,2024-07-09T19:20:40Z,3,1,0,,0,,11,42,['pytest'],0,0,0,0,7.499293565750122
jessecooper/pyetrade,9945560633,dependabot/pip/setuptools-70.0.0,d857bbb0fbda5704904ab00d17c56ff7d5544e0f,Python,completed,success,2024-07-15T19:37:16Z,2024-07-15T19:41:38Z,262.0,25,0,0,0,False,0,0,.lock,0,0,0,0,0,False,0,0,0,0,1,3,"[27474082995, 27474083431, 27474083726, 27474084013, 27474084318, 27474084624, 27474084862, 27474085136, 27474085394, 27474085634, 27474086059, 27474086412]",12,2024-07-15T19:37:12Z,3,1,0,,0,,11,42,['pytest'],0,0,0,0,7.026232004165649
jessecooper/pyetrade,11523407402,master,f61eee4c2636eba4df80b66cd23785867464bfbb,Python,completed,success,2024-10-25T18:20:48Z,2024-10-25T18:24:16Z,208.0,26,0,0,0,True,6,6,".toml, .py, .txt, .lock",0,0,0,12,0,False,6,0,1,4,4,3,"[32081357552, 32081358262, 32081358621, 32081358900, 32081359185, 32081359441, 32081359755, 32081359976, 32081360197, 32081360437, 32081360666, 32081360910]",12,2024-10-25T17:57:45Z,3,2,0,,0.0,,11,42,['pytest'],600,0,0,600,13.072168588638306
jessecooper/pyetrade,11635375582,master,209d0d91e12b1a480d7d1176b6d291b664485a39,Python,completed,success,2024-11-01T19:45:20Z,2024-11-01T19:48:54Z,214.0,27,0,0,0,True,12,16,", .toml, .yaml, .lock, .py, .txt",0,0,0,28,0,False,12,0,4,4,10,3,"[32404594327, 32404594831, 32404595130, 32404595387, 32404595627, 32404595868, 32404596084, 32404596349, 32404596543, 32404596795, 32404597001, 32404597173]",12,2024-11-01T19:45:18Z,3,1,0,,0.0,,11,42,['pytest'],600,0,0,600,12.674519538879395
jessecooper/pyetrade,11704787964,master,53fa68cfa33d2a466455334d91710b41791fa23e,Python,completed,success,2024-11-06T13:42:55Z,2024-11-06T13:46:45Z,230.0,28,0,0,0,True,4,4,".toml, .lock, .cfg, .py, .txt",0,0,0,8,0,False,4,0,4,4,6,3,"[32598002447, 32598002929, 32598003978, 32598004452, 32598005005, 32598005718, 32598006135, 32598006663, 32598007089, 32598007526, 32598007971, 32598008798]",12,2024-11-06T13:42:11Z,3,1,0,,0.0,,11,42,['pytest'],600,0,0,600,12.646355152130127
jessecooper/pyetrade,11724874747,master,712bfdae60ffe0487051f26cdefb7f154a2280f4,Python,completed,success,2024-11-07T14:21:06Z,2024-11-07T14:25:02Z,236.0,30,0,0,0,True,0,0,.yml,0,0,0,0,0,False,0,0,0,0,2,3,"[32659830923, 32659831735, 32659832266, 32659832680, 32659833067, 32659833403, 32659833759, 32659834061, 32659834453, 32659834842, 32659835193, 32659835535]",12,2024-11-07T14:20:54Z,3,1,0,,0,,11,42,['pytest'],600,0,0,600,12.740208864212036
jessecooper/pyetrade,11724923092,master,adff0ee58aa273693d097ac7aea14756e6a55563,Python,completed,success,2024-11-07T14:23:33Z,2024-11-07T14:26:53Z,200.0,30,0,0,0,True,0,0,.yml,0,0,0,0,0,False,0,0,0,0,1,3,"[32659977902, 32659978769, 32659979206, 32659979509, 32659979849, 32659980192, 32659980527, 32659980869, 32659981232, 32659981558, 32659981904, 32659982243]",12,2024-11-07T14:23:20Z,3,1,0,,0,,11,42,['pytest'],600,0,0,600,11.868195295333862
